0,0
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
0,13
0,14
0,15
0,16
0,17
0,18
0,19
1,0
1,1
1,18
1,19
2,0
2,3
2,4
2,5
2,6
2,7
2,8
2,11
2,12
2,13
2,14
2,15
2,16
2,19
3,0
3,3
3,16
3,19
5,0
5,2
5,17
5,19
6,0
6,2
6,4
6,5
6,6
6,7
6,8
6,10
6,11
6,12
6,13
6,14
6,15
6,17
6,19
7,0
7,2
7,17
7,19
8,0
8,3
8,4
8,5
8,6
8,7
8,8
8,9
8,10
8,11
8,12
8,13
8,14
8,15
8,16
8,19
9,0
9,1
9,18
9,19
10,0
10,1
10,2
10,3
10,4
10,5
10,6
10,7
10,8
10,9
10,10
10,11
10,12
10,13
10,14
10,15
10,16
10,17
10,18
10,19
*
10,10
6,9
