0,2
0,3
0,9
0,10
0,15
0,16
1,0
1,5
1,6
1,12
1,13
1,18
2,0
2,1
2,2
2,3
2,4
2,5
2,6
2,7
2,8
2,9
2,10
2,11
2,12
2,13
2,14
2,15
2,16
2,17
2,18
3,5
3,6
3,10
3,14
3,18
4,1
4,2
4,3
4,8
4,12
4,16
5,3
5,4
5,5
5,6
5,7
5,8
5,9
5,10
5,11
5,12
5,13
5,14
5,15
5,16
5,17
5,18
5,19
6,0
6,1
6,3
6,4
6,8
6,13
7,3
7,4
7,6
7,8
7,10
7,11
7,13
7,15
7,16
7,17
7,18
8,1
8,2
8,3
8,6
8,8
8,10
8,13
8,15
9,5
9,6
9,8
9,10
9,12
9,13
9,15
9,17
9,18
9,19
10,0
10,1
10,2
10,3
10,4
10,5
10,6
10,10
10,15
*
0,0
10,19
