0,0
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,12
0,13
0,14
0,16
0,17
0,18
0,19
1,0
1,10
2,0
2,2
2,3
2,4
2,6
2,8
2,12
2,14
2,16
2,17
2,18
3,4
3,6
3,9
3,11
3,14
3,16
4,1
4,2
4,3
4,4
4,6
4,8
4,12
4,14
4,16
4,18
4,19
5,4
6,1
6,2
6,4
6,6
6,8
6,12
6,14
6,16
6,18
6,19
7,2
7,4
7,6
7,9
7,11
7,14
7,16
7,19
8,1
8,2
8,3
8,4
8,6
8,8
8,12
8,14
8,16
8,17
8,19
9,10
9,19
10,0
10,1
10,2
10,3
10,4
10,5
10,6
10,7
10,8
10,9
10,10
10,11
10,12
10,13
10,14
10,15
10,16
10,17
10,18
10,19
*
5,10
%
0,15/3,3/3,12/5,19/7,1/7,3
