0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
1,3
2,3
3,3
4,3
5,3
6,3
7,3
8,3
9,3
10,3
0,5
1,5
2,5
3,5
4,5
5,5
6,5
7,5
8,5
9,5
1,7
2,7
3,7
4,7
5,7
6,7
7,7
8,7
9,7
10,7
0,9
1,9
2,9
3,9
4,9
5,9
6,9
7,9
8,9
9,9
1,11
2,11
3,11
4,11
5,11
6,11
7,11
8,11
9,11
10,11
0,13
1,13
2,13
3,13
4,13
5,13
6,13
7,13
8,13
9,13
1,15
2,15
3,15
4,15
5,15
6,15
7,15
8,15
9,15
10,15
0,17
1,17
2,17
3,17
4,17
5,17
6,17
7,17
8,17
9,17
0,19
1,19
2,19
3,19
4,19
5,19
6,19
7,19
8,19
9,19
10,19
*
0,0
0,18
