0,15
1,1
1,3
1,4
1,5
1,6
1,7
1,8
1,9
1,10
1,11
1,13
1,15
1,18
2,1
2,3
2,11
2,12
2,13
2,14
2,15
2,17
2,18
3,1
3,3
3,5
3,6
3,7
3,10
4,1
4,3
4,5
4,9
4,12
4,13
4,14
4,17
4,19
5,5
5,7
5,8
5,11
5,15
5,17
6,0
6,1
6,2
6,3
6,4
6,10
6,11
6,13
6,15
6,17
6,18
6,19
7,6
7,7
7,8
7,13
7,15
8,1
8,2
8,5
8,11
8,12
8,13
8,15
8,16
8,17
8,18
9,1
9,2
9,4
9,5
9,7
9,9
9,11
10,1
10,2
10,7
10,11
10,12
10,13
10,14
10,15
10,16
10,17
10,18
*
10,10
%
0,0/10,0/0,19/10,19
